customer_ID,hotel,canceled,lead_time,arrival_year,arrival_month,arrival_week_number,arrival_day,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,appointment_status_value,payment_method,total_payment,gender,age_count
11,Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,145,0,0,Check-Out,05-07-2015,Cancelled,Insurance,2156,Male,26
12,Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,05-07-2015,Cancelled,Auto,7017,Male,26
13,Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,,0,Transient,154.77,0,1,Check-Out,05-07-2015,Cancelled,Cash,3244,Female,55
14,Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,05-07-2015,Cancelled,Insurance,9731,Female,28
15,Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,05-07-2015,Completed,Medicare,652,Female,39
16,Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,,0,Contract,97.5,0,0,Check-Out,05-07-2015,Missed,Auto,9007,Male,50
17,Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,88.2,0,0,Check-Out,02-07-2015,Completed,Auto,5483,Male,53
18,Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110,0,Transient,107.42,0,0,Check-Out,02-07-2015,Completed,Auto,4011,Male,62
19,Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,153,0,1,Check-Out,05-07-2015,Completed,Cash,3489,Female,40
20,Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,97.29,0,1,Check-Out,06-07-2015,Cancelled,Insurance,9399,Female,62
21,Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,0,Transient,84.67,0,1,Check-Out,07-07-2015,Rescheduled,Insurance,8542,Male,62
22,Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,99.67,0,1,Check-Out,07-07-2015,Missed,Medicare,2530,Female,51
23,Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,,0,Contract,94.95,0,1,Check-Out,01-07-2015,Rescheduled,Medicare,558,Male,26
24,Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,63.6,1,0,Check-Out,08-07-2015,Completed,Auto,307,Female,41
25,Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,08-07-2015,Completed,Medicare,999,Female,25
26,Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,2,Canceled,11-05-2015,Rescheduled,Cash,121,Female,24
27,Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,94,0,0,Check-Out,08-07-2015,Rescheduled,Insurance,8701,Female,53
28,Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,87.3,1,1,Check-Out,08-07-2015,Rescheduled,Auto,994,Male,35
29,Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62,0,2,Check-Out,15-07-2015,Completed,Medicare,614,Female,20
30,Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,63.86,0,0,Check-Out,16-07-2015,Completed,Cash,7394,Male,45
31,Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,108.3,0,2,Canceled,29-05-2015,Missed,Cash,5004,Male,23
32,Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,,0,Transient,65.5,0,0,Check-Out,08-07-2015,Missed,Medicare,7967,Male,61
33,Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Canceled,19-05-2015,Completed,Insurance,4209,Female,61
34,Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Canceled,19-06-2015,Rescheduled,Medicare,7279,Male,38
35,Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,06-07-2015,Rescheduled,Auto,1660,Male,45
36,Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Check-Out,06-07-2015,Missed,Medicare,1366,Male,57
37,Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,0,Canceled,23-05-2015,Completed,Cash,3738,Female,18
38,Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,07-07-2015,Missed,Medicare,9041,Female,53
39,Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,117.81,0,0,Canceled,18-05-2015,Missed,Insurance,3527,Male,38
40,Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,07-07-2015,Cancelled,Working capital,4880,Female,60
41,Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123,0,0,Check-Out,07-07-2015,Cancelled,Medicare,2027,Male,52
42,Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,2,Check-Out,09-07-2015,Cancelled,Insurance,2456,Male,30
43,Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,153,0,0,Canceled,02-06-2015,Rescheduled,Insurance,4890,Female,66
44,Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,58.95,0,1,Check-Out,09-07-2015,Completed,Cash,406,Male,27
45,Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,,0,Transient-Party,82.88,0,2,Check-Out,09-07-2015,Completed,Insurance,8079,Female,61
46,Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,,0,Contract,82.35,0,0,Check-Out,09-07-2015,Completed,Insurance,3765,Female,64
47,Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,,0,Transient,119.35,0,1,Check-Out,09-07-2015,Completed,Insurance,7157,Male,27
48,Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,,0,Transient-Party,67.58,0,2,Check-Out,09-07-2015,Cancelled,Insurance,761,Female,63
49,Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,,0,Contract,56.01,0,0,Check-Out,13-07-2015,Rescheduled,Auto,4744,Female,30
50,Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,,0,Contract,110.7,0,0,Check-Out,16-07-2015,Rescheduled,Auto,8603,Male,54
51,Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,88.2,1,0,Check-Out,03-07-2015,Cancelled,Cash,3020,Male,55
52,Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,147,1,0,Check-Out,03-07-2015,Rescheduled,Medicare,9374,Female,41
53,Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,1,2,Check-Out,03-07-2015,Cancelled,Insurance,9046,Female,19
54,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147,0,0,Check-Out,03-07-2015,Completed,Medicare,6336,Male,39
55,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,117.9,0,2,Check-Out,03-07-2015,Cancelled,Medicare,6178,Female,34
56,Resort Hotel,0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123,0,0,Check-Out,03-07-2015,Completed,Cash,452,Female,53
57,Resort Hotel,0,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,,0,Transient,98,0,1,Check-Out,04-07-2015,Completed,Insurance,9194,Female,31
58,Resort Hotel,0,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,117.81,0,0,Check-Out,04-07-2015,Missed,Insurance,7105,Female,27
59,Resort Hotel,0,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,135,1,2,Check-Out,04-07-2015,Cancelled,Working capital,258,Female,52
60,Resort Hotel,0,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,133,0,1,Check-Out,05-07-2015,Missed,Medicare,1056,Female,42
61,Resort Hotel,0,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,,0,Contract,58.95,0,0,Check-Out,05-07-2015,Cancelled,Medicare,2171,Female,20
62,Resort Hotel,1,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,136.33,0,2,Canceled,29-06-2015,Cancelled,Auto,8695,Male,64
63,Resort Hotel,0,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,,0,Transient,153,1,0,Check-Out,05-07-2015,Missed,Working capital,9679,Male,55
64,Resort Hotel,0,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,110.5,0,0,Check-Out,05-07-2015,Missed,Auto,3553,Male,34
65,Resort Hotel,0,51,2015,July,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,,0,Transient,97,0,0,Check-Out,05-07-2015,Cancelled,Auto,6775,Male,29
66,Resort Hotel,1,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110.3,0,2,Canceled,16-06-2015,Rescheduled,Auto,1055,Male,69
67,Resort Hotel,1,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,2,Canceled,18-06-2015,Completed,Cash,6395,Female,41
68,Resort Hotel,1,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,1,Canceled,03-07-2015,Missed,Cash,1812,Female,46
69,Resort Hotel,1,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,1,Canceled,12-06-2015,Completed,Auto,4803,Female,60
70,Resort Hotel,0,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient,91.5,0,0,Check-Out,05-07-2015,Rescheduled,Working capital,6663,Female,42
71,Resort Hotel,0,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,114.5,0,0,Check-Out,05-07-2015,Rescheduled,Medicare,9565,Male,53
72,Resort Hotel,1,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,110.3,0,0,Canceled,09-06-2015,Rescheduled,Working capital,5731,Female,43
73,Resort Hotel,0,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,90.9,1,0,Check-Out,06-07-2015,Missed,Insurance,9733,Female,55
74,Resort Hotel,1,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,26-05-2015,Rescheduled,Cash,1494,Male,18
75,Resort Hotel,0,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,122,0,0,Check-Out,07-07-2015,Missed,Medicare,9561,Female,37
76,Resort Hotel,0,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,,0,Transient,110.7,1,0,Check-Out,07-07-2015,Rescheduled,Medicare,4832,Female,45
77,Resort Hotel,0,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,85.86,0,0,Check-Out,11-07-2015,Completed,Insurance,3814,Male,33
78,Resort Hotel,0,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,58.95,0,0,Check-Out,12-07-2015,Completed,Insurance,629,Female,64
79,Resort Hotel,1,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,55.68,0,0,Canceled,19-05-2015,Cancelled,Auto,3058,Female,34
80,Resort Hotel,0,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,55.68,0,0,Check-Out,13-07-2015,Completed,Cash,8004,Female,57
81,Resort Hotel,1,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,,0,Transient,124,0,1,Canceled,09-06-2015,Cancelled,Cash,3691,Female,45
82,Resort Hotel,0,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,,0,Contract,111.15,0,0,Check-Out,13-07-2015,Completed,Working capital,6995,Female,29
83,Resort Hotel,0,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,,0,Contract,134.73,0,0,Check-Out,17-07-2015,Missed,Auto,9231,Male,44
84,Resort Hotel,0,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,,0,Transient,92.45,0,1,Check-Out,17-07-2015,Completed,Auto,625,Male,59
85,Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,108.73,0,2,Canceled,15-04-2015,Cancelled,Auto,6577,Male,64
86,Resort Hotel,0,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,73.8,0,0,Check-Out,04-07-2015,Cancelled,Auto,101,Male,47
87,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,1,2,Check-Out,04-07-2015,Rescheduled,Cash,474,Male,58
88,Resort Hotel,0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,131,0,1,Check-Out,04-07-2015,Missed,Cash,4748,Male,51
89,Resort Hotel,0,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Check-Out,04-07-2015,Completed,Auto,2465,Female,54
90,Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,04-07-2015,Rescheduled,Working capital,1625,Male,23
91,Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,2,Check-Out,04-07-2015,Completed,Medicare,1746,Male,24
92,Resort Hotel,1,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Canceled,26-05-2015,Completed,Medicare,113,Female,49
93,Resort Hotel,1,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,1,Canceled,29-06-2015,Rescheduled,Working capital,4699,Female,49
94,Resort Hotel,1,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,,0,Transient,117,0,1,Canceled,13-05-2015,Rescheduled,Auto,2378,Male,42
95,Resort Hotel,0,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,,0,Transient,196.54,0,1,Check-Out,10-07-2015,Rescheduled,Cash,3255,Female,50
96,Resort Hotel,0,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,99.3,1,2,Check-Out,10-07-2015,Rescheduled,Medicare,8421,Male,24
97,Resort Hotel,0,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,90.95,0,0,Check-Out,10-07-2015,Rescheduled,Insurance,3914,Female,69
98,Resort Hotel,0,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,,0,Transient,92.67,0,1,Check-Out,07-07-2015,Completed,Insurance,3316,Male,29
99,Resort Hotel,0,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Transient,71.55,1,0,Check-Out,07-07-2015,Rescheduled,Working capital,8319,Female,33
100,Resort Hotel,0,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,96.49,0,2,Check-Out,10-07-2015,Missed,Auto,2213,Female,33
101,Resort Hotel,0,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,85.8,1,2,Check-Out,10-07-2015,Cancelled,Medicare,9544,Male,60
102,Resort Hotel,0,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96.3,0,1,Check-Out,11-07-2015,Rescheduled,Auto,4456,Male,53
103,Resort Hotel,1,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,163,0,0,Canceled,09-06-2015,Rescheduled,Medicare,5643,Male,30
104,Resort Hotel,1,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,,0,Transient,172,0,1,Canceled,20-05-2015,Completed,Working capital,4655,Male,24
105,Resort Hotel,1,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,1,Canceled,22-04-2015,Rescheduled,Working capital,7162,Male,53
106,Resort Hotel,0,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,58.95,0,1,Check-Out,11-07-2015,Rescheduled,Insurance,3474,Female,64
107,Resort Hotel,0,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,73.8,0,2,Check-Out,11-07-2015,Rescheduled,Auto,6530,Male,68
108,Resort Hotel,0,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,97,0,2,Check-Out,11-07-2015,Completed,Insurance,3566,Male,26
109,Resort Hotel,0,78,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,139,0,2,Check-Out,11-07-2015,Rescheduled,Auto,3181,Female,49
110,Resort Hotel,0,52,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,,0,Transient,67.24,0,0,Check-Out,11-07-2015,Cancelled,Insurance,729,Female,28
111,Resort Hotel,0,29,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,116.5,0,1,Check-Out,12-07-2015,Completed,Cash,369,Male,25
112,Resort Hotel,1,101,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,96.3,0,1,Canceled,12-05-2015,Cancelled,Cash,5824,Female,50
113,Resort Hotel,0,109,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,123,0,1,Check-Out,12-07-2015,Completed,Cash,5997,Female,40
114,Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.55,0,1,Check-Out,14-07-2015,Rescheduled,Cash,3532,Male,42
115,Resort Hotel,0,92,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.55,0,1,Check-Out,14-07-2015,Cancelled,Medicare,9572,Female,25
116,Resort Hotel,0,79,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,149,0,1,Check-Out,14-07-2015,Completed,Cash,6376,Female,62
